,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3c7,2021-01-01,10,140.0,7
1,61b7404307b79a564847b3ed,2021-01-02,14,196.0,13
2,61b7404307b79a564847b41b,2021-01-03,11,154.0,9
3,61b7404307b79a564847b450,2021-01-04,18,252.0,14
4,61b7404307b79a564847b49d,2021-01-05,13,182.0,11
5,61b7404307b79a564847b4e7,2021-01-06,18,252.0,15
6,61b7404307b79a564847b597,2021-01-08,8,112.0,5
7,61b7404307b79a564847b673,2021-01-11,13,182.0,7
8,61b7404307b79a564847b6be,2021-01-12,13,182.0,11
9,61b7404307b79a564847b71a,2021-01-13,21,294.0,17
10,61b7404307b79a564847b76b,2021-01-14,13,182.0,9
11,61b7404307b79a564847b7b0,2021-01-15,14,196.0,11
12,61b7404307b79a564847b803,2021-01-16,16,224.0,8
13,61b7404307b79a564847baef,2021-01-27,10,140.0,8
14,61b7404307b79a564847bb39,2021-01-28,11,154.0,9
15,61b7404307b79a564847bb84,2021-01-29,15,210.0,13
16,61b7404307b79a564847bbd3,2021-01-30,14,196.0,11
17,61b7404307b79a564847bc15,2021-01-31,8,112.0,8
18,61b7404307b79a564847bc67,2021-02-01,11,154.0,8
19,61b7404307b79a564847bcaa,2021-02-02,11,154.0,8
20,61b7404307b79a564847bcfe,2021-02-03,6,84.0,5
21,61b7404307b79a564847bd40,2021-02-04,5,70.0,5
22,61b7404307b79a564847bd66,2021-02-05,8,112.0,2
23,61b7404307b79a564847bd7b,2021-02-06,1,14.0,1
24,61b7404307b79a564847bd93,2021-02-07,1,14.0,1
25,61b7404307b79a564847bdc6,2021-02-08,10,140.0,6
26,61b7404307b79a564847bde4,2021-02-09,3,42.0,3
27,61b7404307b79a564847be06,2021-02-10,1,14.0,1
28,61b7404307b79a564847be2f,2021-02-11,5,70.0,4
29,61b7404307b79a564847be62,2021-02-12,4,56.0,3
30,61b7404307b79a564847be7a,2021-02-13,1,14.0,1
31,61b7404307b79a564847beab,2021-02-14,2,28.0,2
32,61b7404307b79a564847bee1,2021-02-15,3,42.0,3
33,61b7404307b79a564847bf16,2021-02-16,6,84.0,4
34,61b7404307b79a564847bf41,2021-02-17,4,56.0,3
35,61b7404307b79a564847bf6b,2021-02-18,9,126.0,7
36,61b7404307b79a564847bf99,2021-02-19,8,112.0,5
37,61b7404307b79a564847bfc0,2021-02-20,5,70.0,3
38,61b7404307b79a564847c33c,2021-03-11,7,98.0,5
39,61b7404307b79a564847c37a,2021-03-12,2,28.0,2
40,61b7404307b79a564847c3dd,2021-03-13,6,84.0,6
41,61b7404307b79a564847c442,2021-03-15,11,154.0,8
42,61b7404307b79a564847c4a2,2021-03-16,9,126.0,6
43,61b7404307b79a564847c4d4,2021-03-17,4,56.0,3
44,61b7404307b79a564847c516,2021-03-18,22,308.0,18
45,61b7404307b79a564847c561,2021-03-19,14,196.0,12
46,61b7404307b79a564847c5a6,2021-03-20,10,140.0,9
47,61b7404307b79a564847c5e8,2021-03-21,1,14.0,1
48,61b7404307b79a564847c9bb,2021-04-04,5,70.0,5
49,61b7404307b79a564847c9fd,2021-04-05,5,70.0,4
