,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3c4,2021-01-01,9,216.0,7
1,61b7404307b79a564847b3ea,2021-01-02,9,216.0,7
2,61b7404307b79a564847b419,2021-01-03,11,264.0,7
3,61b7404307b79a564847b449,2021-01-04,15,360.0,12
4,61b7404307b79a564847b499,2021-01-05,10,240.0,7
5,61b7404307b79a564847b4e1,2021-01-06,7,168.0,6
6,61b7404307b79a564847b535,2021-01-07,15,360.0,11
7,61b7404307b79a564847b592,2021-01-08,20,480.0,17
8,61b7404307b79a564847b5e6,2021-01-09,19,456.0,14
9,61b7404307b79a564847b62b,2021-01-10,11,264.0,7
10,61b7404307b79a564847b66e,2021-01-11,18,432.0,13
11,61b7404307b79a564847b6b9,2021-01-12,16,384.0,14
12,61b7404307b79a564847b715,2021-01-13,12,288.0,8
13,61b7404307b79a564847b767,2021-01-14,1,24.0,1
14,61b7404307b79a564847b7ab,2021-01-15,1,24.0,1
15,61b7404307b79a564847b7fe,2021-01-16,14,336.0,10
16,61b7404307b79a564847b83d,2021-01-17,2,48.0,2
17,61b7404307b79a564847b87a,2021-01-18,4,96.0,4
18,61b7404307b79a564847b8c6,2021-01-19,1,24.0,1
19,61b7404307b79a564847b901,2021-01-20,15,360.0,9
20,61b7404307b79a564847b94d,2021-01-21,14,336.0,12
21,61b7404307b79a564847b995,2021-01-22,22,528.0,14
22,61b7404307b79a564847b9e1,2021-01-23,3,72.0,3
23,61b7404307b79a564847ba28,2021-01-24,12,288.0,8
24,61b7404307b79a564847ba63,2021-01-25,1,24.0,1
25,61b7404307b79a564847baa7,2021-01-26,5,120.0,4
26,61b7404307b79a564847bae8,2021-01-27,6,144.0,5
27,61b7404307b79a564847bb35,2021-01-28,10,240.0,7
28,61b7404307b79a564847bb80,2021-01-29,16,384.0,10
29,61b7404307b79a564847bbd0,2021-01-30,10,240.0,9
30,61b7404307b79a564847bc0f,2021-01-31,4,96.0,4
31,61b7404307b79a564847bc63,2021-02-01,8,192.0,7
32,61b7404307b79a564847bca6,2021-02-02,4,96.0,3
33,61b7404307b79a564847bcf8,2021-02-03,5,120.0,5
34,61b7404307b79a564847bd3d,2021-02-04,10,240.0,6
35,61b7404307b79a564847bd63,2021-02-05,4,96.0,3
36,61b7404307b79a564847bd79,2021-02-06,13,312.0,3
37,61b7404307b79a564847bd8f,2021-02-07,3,72.0,2
38,61b7404307b79a564847bdbe,2021-02-08,6,144.0,5
39,61b7404307b79a564847bddf,2021-02-09,1,24.0,1
40,61b7404307b79a564847be2c,2021-02-11,2,48.0,2
41,61b7404307b79a564847be60,2021-02-12,4,96.0,3
42,61b7404307b79a564847be73,2021-02-13,1,24.0,1
43,61b7404307b79a564847bea7,2021-02-14,2,48.0,1
