,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3c0,2021-01-01,29,493.0,20
1,61b7404307b79a564847b3e6,2021-01-02,34,578.0,21
2,61b7404307b79a564847b415,2021-01-03,27,459.0,20
3,61b7404307b79a564847b442,2021-01-04,26,442.0,23
4,61b7404307b79a564847b48f,2021-01-05,28,476.0,20
5,61b7404307b79a564847b4da,2021-01-06,43,741.0,29
6,61b7404307b79a564847b531,2021-01-07,59,1008.0,43
7,61b7404307b79a564847b58a,2021-01-08,42,714.0,31
8,61b7404307b79a564847b5df,2021-01-09,54,923.0,38
9,61b7404307b79a564847b626,2021-01-10,30,510.0,25
10,61b7404307b79a564847b668,2021-01-11,37,629.0,25
11,61b7404307b79a564847b6b3,2021-01-12,31,532.0,22
12,61b7404307b79a564847b70e,2021-01-13,40,690.0,28
13,61b7404307b79a564847b75f,2021-01-14,58,991.0,37
14,61b7404307b79a564847b7a5,2021-01-15,39,663.0,27
15,61b7404307b79a564847b7f7,2021-01-16,23,391.0,19
16,61b7404307b79a564847b83a,2021-01-17,15,255.0,12
17,61b7404307b79a564847b873,2021-01-18,18,306.0,13
18,61b7404307b79a564847b8c0,2021-01-19,28,476.0,19
19,61b7404307b79a564847b8fc,2021-01-20,28,476.0,18
20,61b7404307b79a564847b945,2021-01-21,32,544.0,23
21,61b7404307b79a564847b98f,2021-01-22,31,527.0,23
22,61b7404307b79a564847b9db,2021-01-23,19,328.0,16
23,61b7404307b79a564847ba23,2021-01-24,18,289.0,15
24,61b7404307b79a564847ba5e,2021-01-25,20,340.0,16
25,61b7404307b79a564847baa2,2021-01-26,21,357.0,15
26,61b7404307b79a564847bae0,2021-01-27,14,238.0,11
27,61b7404307b79a564847bb2d,2021-01-28,30,510.0,24
28,61b7404307b79a564847bb79,2021-01-29,35,595.0,22
29,61b7404307b79a564847bbca,2021-01-30,35,595.0,25
30,61b7404307b79a564847bc08,2021-01-31,30,510.0,19
31,61b7404307b79a564847bc5c,2021-02-01,26,442.0,17
32,61b7404307b79a564847bca1,2021-02-02,18,306.0,13
33,61b7404307b79a564847bcf1,2021-02-03,16,282.0,13
34,61b7404307b79a564847bd36,2021-02-04,15,255.0,12
35,61b7404307b79a564847bd61,2021-02-05,1,17.0,1
36,61b7404307b79a564847bd78,2021-02-06,1,17.0,1
37,61b7404307b79a564847bd8e,2021-02-07,7,119.0,4
38,61b7404307b79a564847bdb9,2021-02-08,6,102.0,5
39,61b7404307b79a564847bddd,2021-02-09,5,85.0,5
40,61b7404307b79a564847be03,2021-02-10,2,34.0,2
41,61b7404307b79a564847be2b,2021-02-11,2,34.0,2
42,61b7404307b79a564847be5c,2021-02-12,7,119.0,4
43,61b7404307b79a564847be71,2021-02-13,1,22.0,1
