,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b4a1,2021-01-06,1,23,1
1,61b7404307b79a564847b4ee,2021-01-07,1,23,1
2,61b7404307b79a564847b541,2021-01-08,1,23,1
3,61b7404307b79a564847b59b,2021-01-09,6,138,5
4,61b7404307b79a564847ba2d,2021-01-25,1,23,1
5,61b7404307b79a564847baf5,2021-01-28,1,23,1
6,61b7404307b79a564847bb8b,2021-01-30,1,23,1
7,61b7404307b79a564847bbd8,2021-01-31,2,46,1
8,61b7404307b79a564847bc1d,2021-02-01,4,92,4
9,61b7404307b79a564847bd06,2021-02-04,1,23,1
10,61b7404307b79a564847bd7d,2021-02-07,2,46,1
11,61b7404307b79a564847bde6,2021-02-10,1,23,1
12,61b7404307b79a564847be0a,2021-02-11,3,69,3
13,61b7404307b79a564847bee4,2021-02-16,1,23,1
14,61b7404307b79a564847bf42,2021-02-18,3,69,3
15,61b7404307b79a564847bfe6,2021-02-22,1,23,1
16,61b7404307b79a564847c00c,2021-02-23,1,23,1
17,61b7404307b79a564847c07f,2021-02-26,2,46,2
18,61b7404307b79a564847c0f5,2021-03-01,5,115,3
19,61b7404307b79a564847c139,2021-03-03,1,23,1
20,61b7404307b79a564847c16f,2021-03-04,1,23,1
21,61b7404307b79a564847c1b4,2021-03-06,1,23,1
22,61b7404307b79a564847c231,2021-03-08,3,69,2
23,61b7404307b79a564847c26c,2021-03-09,1,23,1
24,61b7404307b79a564847c382,2021-03-13,1,23,1
25,61b7404307b79a564847c567,2021-03-20,3,69,3
26,61b7404307b79a564847c5ed,2021-03-22,1,23,1
27,61b7404307b79a564847c65a,2021-03-24,2,46,1
28,61b7404307b79a564847c699,2021-03-25,2,46,2
29,61b7404307b79a564847c71c,2021-03-27,3,69,2
30,61b7404307b79a564847c763,2021-03-28,5,115,5
31,61b7404307b79a564847c7ab,2021-03-29,1,23,1
32,61b7404307b79a564847c801,2021-03-30,3,69,2
33,61b7404307b79a564847c84c,2021-03-31,2,46,2
34,61b7404307b79a564847c899,2021-04-01,5,115,4
35,61b7404307b79a564847c8ea,2021-04-02,1,23,1
36,61b7404307b79a564847c937,2021-04-03,1,23,1
37,61b7404307b79a564847c977,2021-04-04,1,23,1
38,61b7404307b79a564847c9c2,2021-04-05,4,92,4
39,61b7404307b79a564847ca04,2021-04-06,1,23,1
40,61b7404307b79a564847ca49,2021-04-07,4,92,4
41,61b7404307b79a564847ca9c,2021-04-08,2,46,2
42,61b7404307b79a564847cb3d,2021-04-10,1,23,1
43,61b7404307b79a564847cd27,2021-04-18,1,23,1
44,61b7404307b79a564847cf91,2021-04-30,1,23,1
45,61b7404407b79a564847cff8,2021-05-02,1,23,1
46,61b7404407b79a564847d0ec,2021-05-07,1,23,1
47,61b7404407b79a564847d12b,2021-05-08,1,23,1
48,61b7404407b79a564847d2eb,2021-05-15,1,23,1
49,61b7404407b79a564847d32c,2021-05-16,1,23,1
50,61b7404407b79a564847d3a9,2021-05-18,4,92,4
51,61b7404407b79a564847d3e3,2021-05-19,2,46,1
52,61b7404407b79a564847d4bc,2021-05-22,3,69,2
53,61b7404407b79a564847d4fe,2021-05-23,1,23,1
54,61b7404407b79a564847d546,2021-05-24,3,69,3
55,61b7404407b79a564847d5d6,2021-05-26,1,23,1
56,61b7404407b79a564847d742,2021-05-31,2,46,2
57,61b7404407b79a564847d78c,2021-06-01,1,23,1
58,61b7404407b79a564847d7da,2021-06-02,1,23,1
59,61b7404407b79a564847d821,2021-06-03,5,115,1
60,61b7404407b79a564847d870,2021-06-04,1,23,1
61,61b7404407b79a564847d8c4,2021-06-05,1,23,1
62,61b7404407b79a564847d920,2021-06-06,4,92,4
63,61b7404407b79a564847d96a,2021-06-07,1,23,1
64,61b7404407b79a564847dacd,2021-06-12,2,46,2
65,61b7404407b79a564847db14,2021-06-14,1,23,1
66,61b7404407b79a564847db44,2021-06-15,2,46,2
67,61b7404407b79a564847dbf4,2021-06-19,3,69,3
68,61b7404407b79a564847dc24,2021-06-20,2,46,1
69,61b7404407b79a564847dc7b,2021-06-22,1,23,1
70,61b7404407b79a564847dcd3,2021-06-24,2,46,2
71,61b7404407b79a564847dd09,2021-06-25,1,23,1
72,61b7404407b79a564847dd38,2021-06-26,1,23,1
73,61b7404407b79a564847dd64,2021-06-27,2,46,2
74,61b7404407b79a564847dd94,2021-06-28,1,23,1
75,61b7404407b79a564847dded,2021-06-30,1,23,1
76,61b7404407b79a564847dee0,2021-07-05,1,23,1
