,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3bc,2021-01-01,52,1196,35
1,61b7404307b79a564847b3e1,2021-01-02,33,759,20
2,61b7404307b79a564847b413,2021-01-03,35,805,24
3,61b7404307b79a564847b43b,2021-01-04,44,1012,30
4,61b7404307b79a564847b485,2021-01-05,39,897,24
5,61b7404307b79a564847b4d2,2021-01-06,38,874,24
6,61b7404307b79a564847b528,2021-01-07,74,1702,41
7,61b7404307b79a564847b57d,2021-01-08,20,460,14
8,61b7404307b79a564847b5d6,2021-01-09,27,621,18
9,61b7404307b79a564847b61a,2021-01-10,29,667,22
10,61b7404307b79a564847b663,2021-01-11,15,345,12
11,61b7404307b79a564847b6a8,2021-01-12,20,460,14
12,61b7404307b79a564847b705,2021-01-13,22,506,19
13,61b7404307b79a564847b751,2021-01-14,40,920,25
14,61b7404307b79a564847b79c,2021-01-15,32,736,23
15,61b7404307b79a564847b7f0,2021-01-16,30,690,20
16,61b7404307b79a564847b831,2021-01-17,33,759,26
17,61b7404307b79a564847b86c,2021-01-18,17,391,10
18,61b7404307b79a564847b8b9,2021-01-19,14,322,9
19,61b7404307b79a564847b8f7,2021-01-20,24,552,14
20,61b7404307b79a564847b93e,2021-01-21,4,92,2
21,61b7404307b79a564847b986,2021-01-22,13,299,12
22,61b7404307b79a564847b9d3,2021-01-23,6,138,5
23,61b7404307b79a564847ba19,2021-01-24,9,207,8
24,61b7404307b79a564847ba57,2021-01-25,7,161,6
25,61b7404307b79a564847ba9b,2021-01-26,13,299,10
26,61b7404307b79a564847bada,2021-01-27,27,626,18
27,61b7404307b79a564847bb26,2021-01-28,63,1454,31
28,61b7404307b79a564847bb74,2021-01-29,81,1863,52
29,61b7404307b79a564847bbc3,2021-01-30,18,414,13
30,61b7404307b79a564847bc03,2021-01-31,14,322,12
31,61b7404307b79a564847bc55,2021-02-01,23,529,16
32,61b7404307b79a564847bc99,2021-02-02,35,805,23
33,61b7404307b79a564847bce7,2021-02-03,20,460,18
34,61b7404307b79a564847bd2e,2021-02-04,36,828,26
35,61b7404307b79a564847bd5a,2021-02-05,10,230,7
36,61b7404307b79a564847bd77,2021-02-06,2,46,2
37,61b7404307b79a564847bd8a,2021-02-07,5,115,4
38,61b7404307b79a564847bdb1,2021-02-08,4,92,4
39,61b7404307b79a564847bdd9,2021-02-09,2,46,2
40,61b7404307b79a564847bdff,2021-02-10,4,92,4
