,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3ae,2021-01-01,61,549.0,35
1,61b7404307b79a564847b3d4,2021-01-02,69,621.0,38
2,61b7404307b79a564847b404,2021-01-03,30,270.0,20
3,61b7404307b79a564847b42d,2021-01-04,62,558.0,34
4,61b7404307b79a564847b46a,2021-01-05,68,612.0,44
5,61b7404307b79a564847b4b3,2021-01-06,48,432.0,29
6,61b7404307b79a564847b509,2021-01-07,39,351.0,26
7,61b7404307b79a564847b55b,2021-01-08,35,315.0,22
8,61b7404307b79a564847b5b6,2021-01-09,7,63.0,5
9,61b7404307b79a564847b6dc,2021-01-13,1,9.0,1
10,61b7404307b79a564847b736,2021-01-14,49,441.0,31
11,61b7404307b79a564847b780,2021-01-15,53,477.0,38
12,61b7404307b79a564847b7d1,2021-01-16,48,432.0,29
13,61b7404307b79a564847b818,2021-01-17,30,270.0,20
14,61b7404307b79a564847b855,2021-01-18,19,171.0,10
15,61b7404307b79a564847b89f,2021-01-19,24,216.0,16
16,61b7404307b79a564847b8df,2021-01-20,33,297.0,22
17,61b7404307b79a564847b921,2021-01-21,24,216.0,13
18,61b7404307b79a564847b96b,2021-01-22,22,198.0,15
19,61b7404307b79a564847b9b7,2021-01-23,39,351.0,23
20,61b7404307b79a564847b9fd,2021-01-24,23,207.0,15
21,61b7404307b79a564847ba3e,2021-01-25,26,234.0,16
22,61b7404307b79a564847ba7c,2021-01-26,22,198.0,15
23,61b7404307b79a564847bac1,2021-01-27,39,351.0,23
24,61b7404307b79a564847bb0c,2021-01-28,63,567.0,35
25,61b7404307b79a564847bb57,2021-01-29,92,828.0,52
26,61b7404307b79a564847bba2,2021-01-30,41,369.0,24
27,61b7404307b79a564847bbe7,2021-01-31,23,207.0,18
28,61b7404307b79a564847bc36,2021-02-01,43,387.0,21
29,61b7404307b79a564847bc7e,2021-02-02,31,279.0,18
30,61b7404307b79a564847bcc6,2021-02-03,24,216.0,13
