,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3b3,2021-01-01,39,663.0,25
1,61b7404307b79a564847b3d9,2021-01-02,35,595.0,22
2,61b7404307b79a564847b409,2021-01-03,44,748.0,32
3,61b7404307b79a564847b433,2021-01-04,58,986.0,42
4,61b7404307b79a564847b476,2021-01-05,57,969.0,40
5,61b7404307b79a564847b4be,2021-01-06,31,527.0,25
6,61b7404307b79a564847b514,2021-01-07,54,923.0,40
7,61b7404307b79a564847b56a,2021-01-08,75,1275.0,49
8,61b7404307b79a564847b5c3,2021-01-09,64,1102.0,46
9,61b7404307b79a564847b609,2021-01-10,35,605.0,26
10,61b7404307b79a564847b654,2021-01-11,34,578.0,23
11,61b7404307b79a564847b697,2021-01-12,48,821.0,32
12,61b7404307b79a564847b6eb,2021-01-13,53,915.0,38
13,61b7404307b79a564847b741,2021-01-14,56,957.0,33
14,61b7404307b79a564847b78b,2021-01-15,62,1064.0,46
15,61b7404307b79a564847b7dc,2021-01-16,37,639.0,30
16,61b7404307b79a564847b821,2021-01-17,38,656.0,30
17,61b7404307b79a564847b85c,2021-01-18,22,374.0,15
18,61b7404307b79a564847b8a9,2021-01-19,34,583.0,29
19,61b7404307b79a564847b8e7,2021-01-20,29,498.0,21
20,61b7404307b79a564847b92b,2021-01-21,32,549.0,26
21,61b7404307b79a564847b973,2021-01-22,53,911.0,40
22,61b7404307b79a564847b9c2,2021-01-23,24,418.0,23
23,61b7404307b79a564847ba09,2021-01-24,30,510.0,24
24,61b7404307b79a564847ba47,2021-01-25,27,459.0,19
25,61b7404307b79a564847ba8a,2021-01-26,22,379.0,18
26,61b7404307b79a564847bac9,2021-01-27,36,612.0,30
27,61b7404307b79a564847bb14,2021-01-28,68,1156.0,41
28,61b7404307b79a564847bb62,2021-01-29,46,787.0,38
29,61b7404307b79a564847bbb0,2021-01-30,47,814.0,31
30,61b7404307b79a564847bbf3,2021-01-31,44,753.0,28
31,61b7404307b79a564847bc41,2021-02-01,31,527.0,23
32,61b7404307b79a564847bc88,2021-02-02,25,425.0,18
33,61b7404307b79a564847bcd5,2021-02-03,32,544.0,18
34,61b7404307b79a564847bd1f,2021-02-04,30,510.0,25
35,61b7404307b79a564847bd4f,2021-02-05,4,68.0,4
36,61b7404307b79a564847bd6f,2021-02-06,9,153.0,8
37,61b7404307b79a564847bd86,2021-02-07,6,107.0,6
38,61b7404307b79a564847bdac,2021-02-08,9,153.0,8
39,61b7404307b79a564847bdd6,2021-02-09,4,68.0,4
40,61b7404307b79a564847bdf5,2021-02-10,13,221.0,9
41,61b7404307b79a564847be1d,2021-02-11,7,119.0,7
42,61b7404307b79a564847be4c,2021-02-12,14,243.0,12
43,61b7404307b79a564847be6b,2021-02-13,5,90.0,3
44,61b7404307b79a564847be99,2021-02-14,9,158.0,7
45,61b7404307b79a564847bec2,2021-02-15,6,102.0,4
46,61b7404307b79a564847beff,2021-02-16,6,102.0,5
47,61b7404307b79a564847bf2f,2021-02-17,9,168.0,7
48,61b7404307b79a564847bf56,2021-02-18,19,323.0,14
49,61b7404307b79a564847bf84,2021-02-19,5,90.0,5
50,61b7404307b79a564847bfae,2021-02-20,32,544.0,18
51,61b7404307b79a564847bfda,2021-02-21,3,51.0,3
52,61b7404307b79a564847bff7,2021-02-22,4,78.0,4
53,61b7404307b79a564847c01d,2021-02-23,5,90.0,5
54,61b7404307b79a564847c047,2021-02-24,12,204.0,10
55,61b7404307b79a564847c06b,2021-02-25,8,136.0,7
56,61b7404307b79a564847c08e,2021-02-26,7,129.0,6
57,61b7404307b79a564847c0be,2021-02-27,13,221.0,10
58,61b7404307b79a564847c0e8,2021-02-28,11,187.0,9
59,61b7404307b79a564847c106,2021-03-01,6,102.0,5
60,61b7404307b79a564847c126,2021-03-02,19,323.0,16
61,61b7404307b79a564847c153,2021-03-03,22,374.0,18
62,61b7404307b79a564847c180,2021-03-04,9,153.0,7
63,61b7404307b79a564847c1a3,2021-03-05,11,192.0,8
64,61b7404307b79a564847c1c7,2021-03-06,9,158.0,7
65,61b7404307b79a564847c1fd,2021-03-07,20,345.0,19
66,61b7404307b79a564847c24a,2021-03-08,29,493.0,19
67,61b7404307b79a564847c28b,2021-03-09,23,396.0,19
68,61b7404307b79a564847c2cf,2021-03-10,20,350.0,18
69,61b7404307b79a564847c312,2021-03-11,26,452.0,22
70,61b7404307b79a564847c359,2021-03-12,20,345.0,13
71,61b7404307b79a564847c3ab,2021-03-13,19,323.0,17
72,61b7404307b79a564847c3e9,2021-03-14,4,68.0,4
73,61b7404307b79a564847c419,2021-03-15,37,639.0,32
74,61b7404307b79a564847c466,2021-03-16,25,430.0,17
75,61b7404307b79a564847c4b9,2021-03-17,22,379.0,17
76,61b7404307b79a564847c4f3,2021-03-18,31,542.0,28
77,61b7404307b79a564847c537,2021-03-19,27,459.0,22
78,61b7404307b79a564847c586,2021-03-20,37,639.0,28
79,61b7404307b79a564847c5ca,2021-03-21,19,323.0,15
80,61b7404307b79a564847c608,2021-03-22,20,355.0,18
81,61b7404307b79a564847c63b,2021-03-23,17,289.0,12
82,61b7404307b79a564847c678,2021-03-24,14,238.0,13
83,61b7404307b79a564847c6b7,2021-03-25,21,362.0,18
84,61b7404307b79a564847c6fb,2021-03-26,19,323.0,16
85,61b7404307b79a564847c735,2021-03-27,19,328.0,13
86,61b7404307b79a564847c788,2021-03-28,24,408.0,23
87,61b7404307b79a564847c7c6,2021-03-29,19,328.0,17
88,61b7404307b79a564847c823,2021-03-30,21,357.0,17
89,61b7404307b79a564847c868,2021-03-31,31,527.0,21
90,61b7404307b79a564847c8bd,2021-04-01,15,260.0,15
91,61b7404307b79a564847c908,2021-04-02,21,362.0,16
92,61b7404307b79a564847c955,2021-04-03,21,357.0,16
93,61b7404307b79a564847c99a,2021-04-04,18,306.0,13
94,61b7404307b79a564847c9e5,2021-04-05,19,323.0,17
95,61b7404307b79a564847ca20,2021-04-06,16,272.0,12
96,61b7404307b79a564847ca63,2021-04-07,15,260.0,13
97,61b7404307b79a564847cabe,2021-04-08,17,294.0,14
98,61b7404307b79a564847cb14,2021-04-09,38,661.0,30
99,61b7404307b79a564847cb67,2021-04-10,18,311.0,16
100,61b7404307b79a564847cbb5,2021-04-11,14,238.0,12
101,61b7404307b79a564847cbf9,2021-04-12,16,272.0,12
102,61b7404307b79a564847cc2e,2021-04-13,2,39.0,2
103,61b7404307b79a564847cc5a,2021-04-14,6,107.0,5
104,61b7404307b79a564847cc89,2021-04-15,3,51.0,3
105,61b7404307b79a564847ccc7,2021-04-16,4,68.0,4
106,61b7404307b79a564847cd06,2021-04-17,16,272.0,13
107,61b7404307b79a564847cd48,2021-04-18,7,119.0,6
108,61b7404307b79a564847cd80,2021-04-19,12,204.0,11
109,61b7404307b79a564847cdba,2021-04-20,13,226.0,9
110,61b7404307b79a564847cdf3,2021-04-21,9,158.0,6
111,61b7404307b79a564847ce30,2021-04-22,11,187.0,8
112,61b7404307b79a564847ce6a,2021-04-23,14,238.0,11
113,61b7404307b79a564847ce8f,2021-04-24,6,102.0,6
114,61b7404307b79a564847cebd,2021-04-25,9,153.0,8
115,61b7404307b79a564847cef0,2021-04-26,5,85.0,4
