,_id,date,quantity,revenue,ordersCount
0,61b7404307b79a564847b3bd,2021-01-01,1,16.0,1
1,61b7404307b79a564847b3e3,2021-01-02,2,32.0,2
2,61b7404307b79a564847b414,2021-01-03,2,32.0,2
3,61b7404307b79a564847b43d,2021-01-04,4,64.0,3
4,61b7404307b79a564847b4d8,2021-01-06,6,96.0,4
5,61b7404307b79a564847b530,2021-01-07,5,80.0,5
6,61b7404307b79a564847b583,2021-01-08,1,16.0,1
7,61b7404307b79a564847b5db,2021-01-09,3,48.0,3
8,61b7404307b79a564847b624,2021-01-10,4,64.0,3
9,61b7404307b79a564847b666,2021-01-11,1,16.0,1
10,61b7404307b79a564847b6ad,2021-01-12,6,96.0,5
11,61b7404307b79a564847b708,2021-01-13,3,48.0,3
12,61b7404307b79a564847b755,2021-01-14,1,16.0,1
13,61b7404307b79a564847b7a0,2021-01-15,2,32.0,2
14,61b7404307b79a564847b7f4,2021-01-16,1,16.0,1
15,61b7404307b79a564847b835,2021-01-17,1,16.0,1
16,61b7404307b79a564847b8bd,2021-01-19,1,16.0,1
17,61b7404307b79a564847b941,2021-01-21,6,96.0,6
18,61b7404307b79a564847b989,2021-01-22,2,32.0,2
19,61b7404307b79a564847b9d7,2021-01-23,1,16.0,1
20,61b7404307b79a564847ba1d,2021-01-24,4,64.0,3
21,61b7404307b79a564847ba5b,2021-01-25,1,16.0,1
22,61b7404307b79a564847ba9f,2021-01-26,3,48.0,3
23,61b7404307b79a564847bade,2021-01-27,1,16.0,1
24,61b7404307b79a564847bb29,2021-01-28,4,64.0,3
25,61b7404307b79a564847bbc9,2021-01-30,1,16.0,1
26,61b7404307b79a564847bc59,2021-02-01,1,16.0,1
27,61b7404307b79a564847bc9e,2021-02-02,2,32.0,2
28,61b7404307b79a564847bcee,2021-02-03,3,48.0,3
29,61b7404307b79a564847bd32,2021-02-04,3,48.0,2
30,61b7404307b79a564847bd5f,2021-02-05,1,16.0,1
31,61b7404307b79a564847bd8d,2021-02-07,1,16.0,1
32,61b7404307b79a564847bdb6,2021-02-08,1,16.0,1
33,61b7404307b79a564847be29,2021-02-11,2,32.0,1
34,61b7404307b79a564847be5a,2021-02-12,2,32.0,1
35,61b7404307b79a564847be6f,2021-02-13,1,16.0,1
36,61b7404307b79a564847bf0e,2021-02-16,1,16.0,1
37,61b7404307b79a564847bf62,2021-02-18,2,32.0,2
38,61b7404307b79a564847bfb7,2021-02-20,2,32.0,2
39,61b7404307b79a564847c002,2021-02-22,3,48.0,2
40,61b7404307b79a564847c050,2021-02-24,2,32.0,2
41,61b7404307b79a564847c077,2021-02-25,2,32.0,2
42,61b7404307b79a564847c0ca,2021-02-27,1,16.0,1
43,61b7404307b79a564847c12f,2021-03-02,1,16.0,1
44,61b7404307b79a564847c163,2021-03-03,2,32.0,1
45,61b7404307b79a564847c1da,2021-03-06,2,32.0,2
46,61b7404307b79a564847c21c,2021-03-07,1,16.0,1
47,61b7404307b79a564847c2e4,2021-03-10,1,16.0,1
48,61b7404307b79a564847c32c,2021-03-11,1,16.0,1
49,61b7404307b79a564847c36e,2021-03-12,2,32.0,2
50,61b7404307b79a564847c3ca,2021-03-13,1,16.0,1
51,61b7404307b79a564847c42f,2021-03-15,2,32.0,2
52,61b7404307b79a564847c47e,2021-03-16,2,32.0,1
53,61b7404307b79a564847c4cb,2021-03-17,1,16.0,1
54,61b7404307b79a564847c508,2021-03-18,3,48.0,3
55,61b7404307b79a564847c550,2021-03-19,2,32.0,2
56,61b7404307b79a564847c598,2021-03-20,1,16.0,1
57,61b7404307b79a564847c618,2021-03-22,1,16.0,1
58,61b7404307b79a564847c64f,2021-03-23,2,32.0,2
59,61b7404307b79a564847c688,2021-03-24,1,16.0,1
60,61b7404307b79a564847c6cc,2021-03-25,1,16.0,1
61,61b7404307b79a564847c798,2021-03-28,4,64.0,2
62,61b7404307b79a564847c7e4,2021-03-29,1,16.0,1
63,61b7404307b79a564847c839,2021-03-30,2,32.0,2
64,61b7404307b79a564847c882,2021-03-31,1,16.0,1
65,61b7404307b79a564847c8d1,2021-04-01,3,48.0,3
66,61b7404307b79a564847c921,2021-04-02,1,16.0,1
67,61b7404307b79a564847c9ae,2021-04-04,3,48.0,3
68,61b7404307b79a564847c9f2,2021-04-05,3,48.0,3
69,61b7404307b79a564847ca32,2021-04-06,1,16.0,1
70,61b7404307b79a564847ca8b,2021-04-07,2,32.0,1
71,61b7404307b79a564847cad9,2021-04-08,1,16.0,1
72,61b7404307b79a564847cb2d,2021-04-09,1,16.0,1
73,61b7404307b79a564847cb84,2021-04-10,1,16.0,1
