,_id,date,revenue,ordersCount
0,61b73e6007b79a564811fc36,2021-01-01,10149.0,197
1,61b73e6007b79a564811f2aa,2021-01-02,10051.0,193
2,61b73e5f07b79a564811bba6,2021-01-03,9004.8,179
3,61b73e6107b79a5648121f8f,2021-01-04,11818.0,242
4,61b73e5b07b79a56481123ee,2021-01-05,11274.2,194
5,61b73e6107b79a56481207e9,2021-01-06,9528.0,182
6,61b73e6107b79a5648121183,2021-01-07,13673.0,255
7,61b73e5d07b79a5648117cbe,2021-01-08,12252.0,230
8,61b73e5d07b79a5648118773,2021-01-09,12389.0,226
9,61b73e5b07b79a5648113e23,2021-01-10,8578.0,157
10,61b73e5d07b79a5648117634,2021-01-11,8951.0,163
11,61b73e5c07b79a56481156c9,2021-01-12,9870.0,178
12,61b73e6407b79a5648128f59,2021-01-13,9933.0,165
13,61b73e5f07b79a564811c70c,2021-01-14,11344.0,193
14,61b73e6307b79a5648127189,2021-01-15,10717.0,213
15,61b73e6207b79a56481234bb,2021-01-16,8433.0,165
16,61b73e6207b79a56481231fe,2021-01-17,5877.4,117
17,61b73e5c07b79a5648114ed4,2021-01-18,5825.2,115
18,61b73e6107b79a56481222dd,2021-01-19,6763.0,141
19,61b73e6307b79a5648125114,2021-01-20,6489.0,132
20,61b73e5e07b79a564811b483,2021-01-21,8648.0,177
21,61b73e6007b79a564811f4cc,2021-01-22,11653.0,195
22,61b73e5b07b79a56481122c4,2021-01-23,6682.0,128
23,61b73e5e07b79a5648119da7,2021-01-24,5120.0,114
24,61b73e5c07b79a5648114ba2,2021-01-25,4568.8,101
25,61b73e5e07b79a564811b4e9,2021-01-26,5411.8,121
26,61b73e5c07b79a5648114ed1,2021-01-27,7141.2,141
27,61b73e6207b79a5648123d09,2021-01-28,11620.0,209
28,61b73e6107b79a5648121167,2021-01-29,14217.0,236
29,61b73e5e07b79a564811ae49,2021-01-30,8445.2,168
30,61b73e5e07b79a5648119d12,2021-01-31,6806.0,129
31,61b73e6307b79a5648125aa5,2021-02-01,7512.8,155
32,61b73e5c07b79a564811475d,2021-02-02,7293.6,138
33,61b73e6407b79a56481282a9,2021-02-03,7158.0,124
34,61b73e5d07b79a56481188a9,2021-02-04,5948.0,112
35,61b73e6007b79a564811de87,2021-02-05,1409.0,34
36,61b73e6307b79a564812597a,2021-02-06,1089.0,32
37,61b73e6307b79a5648127196,2021-02-07,1021.0,24
